"Date","Site","Plot","Quadrat","In.out.quadrats","In.out.transects","Species","Number.of.plants","Number.of.flowers.1","Number.of.flowers.2","Number.of.flowers.3","Number.of.flowers.4","Number.of.flowers.5","Number.of.flowers.6","Number.of.flowers.7","Number.of.flowers.8","Number.of.flowers.9","Number.of.flowers.10","Notes","year"
2019-06-06,"Snodgrass Lower",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",NA,NA,"out","out","Claytonia lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",NA,NA,"out","out","Viola praemorsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",1,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",1,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",1,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",1,"D","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",2,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",3,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",3,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",3,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",3,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",4,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",4,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",4,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",4,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",5,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",5,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",5,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",5,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",6,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-07,"Kettle Ponds",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",6,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",5,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",5,"C","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",5,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",5,"A","in","in","Mertensia fusiformis",2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",4,"D","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",4,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",4,"B","in","in","Mertensia fusiformis",12,6,8,7,7,8,8,7,14,8,4,"",2019
2019-06-08,"Snodgrass Lower",4,"B","in","in","Viola praemorsa",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",4,"A","in","in","Mertensia fusiformis",4,5,8,3,7,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",1,"D","in","in","Mertensia fusiformis",1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",1,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",1,"B","in","in","Mertensia fusiformis",6,5,3,8,1,8,5,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",1,"A","in","in","Mertensia fusiformis",2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",2,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",2,NA,"out","in","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",3,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",3,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",3,"C","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",3,"D","in","in","Mertensia fusiformis",2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",3,NA,"out","in","Ranunculus inamoenus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-08,"Snodgrass Lower",NA,NA,"out","out","Claytonia lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"A","in","in","Viola praemorsa",6,1,1,1,1,1,1,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"B","in","in","Mertensia fusiformis",4,5,4,2,4,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"B","in","in","Viola praemorsa",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"C","in","in","Delphinium nuttallianum",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"C","in","in","Mertensia fusiformis",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",4,"D","in","in","Mertensia fusiformis",11,8,6,9,4,4,5,5,3,1,5,"",2019
2019-06-11,"Snodgrass Lower",6,"A","in","in","Mertensia fusiformis",6,12,8,4,10,5,5,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",6,"B","in","in","Mertensia fusiformis",5,1,1,3,10,4,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",6,"C","in","in","Mertensia fusiformis",7,5,1,4,4,10,1,5,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",6,"D","in","in","Mertensia fusiformis",4,4,3,2,6,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",3,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",3,"C","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",3,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",3,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",1,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",1,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",1,"C","in","in","Mertensia fusiformis",2,12,2,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",1,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",2,"A","in","in","Viola praemorsa",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",2,"A","in","in","Mertensia fusiformis",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",2,"B","in","in","Mertensia fusiformis",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",5,"D","in","in","Viola praemorsa",19,1,1,1,1,1,1,1,1,1,1,"",2019
2019-06-11,"Snodgrass Lower",5,"D","in","in","Mertensia fusiformis",10,15,12,4,10,8,8,4,14,3,5,"",2019
2019-06-11,"Snodgrass Lower",5,"C","in","in","Delphinium nuttallianum",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",5,"C","in","in","Viola praemorsa",16,1,1,1,1,1,1,1,1,1,1,"",2019
2019-06-11,"Snodgrass Lower",5,"C","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",5,"B","in","in","Viola praemorsa",6,1,1,1,1,1,1,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",5,"B","in","in","Mertensia fusiformis",10,12,10,11,15,15,4,9,8,10,4,"",2019
2019-06-11,"Snodgrass Lower",5,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-11,"Snodgrass Lower",5,NA,"out","out","Claytonia lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",6,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",6,NA,"out","in","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",5,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",5,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",5,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",5,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",5,NA,"out","in","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",4,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",4,"B","in","in","Claytonia lanceolata",7,2,1,2,2,1,1,1,NA,NA,NA,"",2019
2019-06-12,"401 Trail",4,"C","in","in","Claytonia lanceolata",13,2,3,2,3,1,1,1,2,2,2,"",2019
2019-06-12,"401 Trail",4,"D","in","in","Claytonia lanceolata",8,2,2,1,3,1,1,1,2,NA,NA,"",2019
2019-06-12,"401 Trail",3,"A","in","in","Claytonia lanceolata",4,2,3,2,2,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",3,"B","in","in","Claytonia lanceolata",4,2,2,3,1,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",3,"C","in","in","Claytonia lanceolata",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",3,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",2,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",1,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",1,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",1,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",1,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",NA,NA,"out","out","Pseudocymopterus montanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-12,"401 Trail",NA,NA,"out","out","Noccea fendleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",6,"A","in","in","Claytonia lanceolata",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",5,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",5,"C","in","in","Claytonia lanceolata",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",5,"B","in","in","Claytonia lanceolata",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",5,"A","in","in","Claytonia lanceolata",5,2,1,1,1,1,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",4,"A","in","in","Claytonia lanceolata",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",4,"B","in","in","Claytonia lanceolata",5,1,1,1,1,1,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",4,"B","in","in","Erythronium grandiflorum",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",4,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",4,"D","in","in","Claytonia lanceolata",3,2,1,1,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",3,"D","in","in","Claytonia lanceolata",8,2,1,2,1,1,1,1,1,NA,NA,"",2019
2019-06-13,"Bellview Lower",3,"C","in","in","Claytonia lanceolata",3,1,1,1,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",3,"C","in","in","Erythronium grandiflorum",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",3,"B","in","in","Erythronium grandiflorum",7,1,1,1,1,1,1,1,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",3,"B","in","in","Claytonia lanceolata",10,2,2,1,1,1,1,2,2,1,1,"",2019
2019-06-13,"Bellview Lower",3,"A","in","in","Claytonia lanceolata",13,1,1,1,2,1,1,2,1,1,2,"",2019
2019-06-13,"Bellview Lower",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",2,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",1,"A","in","in","Claytonia lanceolata",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",1,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",1,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",1,"D","in","in","Claytonia lanceolata",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-13,"Bellview Lower",NA,NA,"out","out","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",6,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",6,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",6,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",6,NA,"out","in","Ranunculus inamoenus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,"A","in","in","Mertensia fusiformis",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,"B","in","in","Ranunculus inamoenus",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,"C","in","in","Pseudocymopterus montanus",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,"D","in","in","Viola praemorsa",11,1,1,1,1,1,1,1,1,1,1,"",2019
2019-06-14,"401 Trail",1,"D","in","in","Mertensia fusiformis",3,3,4,9,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,NA,"out","in","Taraxacum officinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",1,NA,"out","in","Fragaria virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",2,"B","in","in","Noccea fendleri",4,4,3,1,2,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",3,"D","in","in","Mertensia fusiformis",3,1,1,6,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",3,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",3,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",3,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",5,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",5,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",5,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",5,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",4,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",4,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",4,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-14,"401 Trail",4,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-17,"Bellview Lower",2,"A","in","in","Claytonia lanceolata",14,3,2,2,1,1,1,1,2,1,1,"",2019
2019-06-17,"Bellview Lower",2,"B","in","in","Claytonia lanceolata",4,3,3,2,3,NA,NA,NA,NA,NA,NA,"",2019
2019-06-17,"Bellview Lower",2,"C","in","in","Claytonia lanceolata",15,2,2,3,2,1,4,3,4,1,1,"",2019
2019-06-17,"Bellview Lower",2,"D","in","in","Claytonia lanceolata",25,1,2,1,1,1,3,2,3,3,1,"",2019
2019-06-17,"Bellview Lower",2,"D","out","in","Erythronium grandiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-17,"Bellview Lower",NA,NA,"out","out","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-19,"401 Trail",1,"A","in","in","Claytonia lanceolata",11,3,3,2,2,1,1,3,3,2,1,"",2019
